open,close,high,low,vol,amount,date,code,volume
230.02,230.0,231.28,224.01,31714.0,721500736.0,2025-03-10,688018,31714.0
224.01,219.6,228.83,218.01,39615.0,877899520.0,2025-03-11,688018,39615.0
223.0,225.4,230.08,217.3,37383.0,838547776.0,2025-03-12,688018,37383.0
224.08,225.57,229.5,219.6,35756.0,801235776.0,2025-03-13,688018,35756.0
225.66,227.25,235.86,223.67,57593.0,1328112512.0,2025-03-14,688018,57593.0
220.02,217.5,220.02,210.21,49873.0,1073707520.0,2025-03-17,688018,49873.0
219.01,224.5,225.98,215.98,48043.0,1064946304.0,2025-03-18,688018,48043.0
226.63,231.6,241.98,226.63,59217.0,1396019328.0,2025-03-19,688018,59217.0
233.07,232.41,243.07,228.01,53177.0,1254061440.0,2025-03-20,688018,53177.0
230.76,215.0,233.46,213.5,53056.0,1164157312.0,2025-03-21,688018,53056.0
217.0,216.3,223.96,212.27,40828.0,891341248.0,2025-03-24,688018,40828.0
216.0,209.0,217.02,208.42,27760.0,587096960.0,2025-03-25,688018,27760.0
209.11,214.52,217.73,209.11,32338.0,695147008.0,2025-03-26,688018,32338.0
212.05,213.52,222.68,212.05,34687.0,750897792.0,2025-03-27,688018,34687.0
214.56,210.0,219.47,209.65,24448.0,520975968.0,2025-03-28,688018,24448.0
209.02,229.67,232.58,207.0,68693.0,1517779840.0,2025-03-31,688018,68693.0
231.0,226.0,233.0,224.66,34171.0,779560896.0,2025-04-01,688018,34171.0
225.5,219.2,227.5,218.5,28742.0,639606464.0,2025-04-02,688018,28742.0
213.0,206.46,219.98,205.13,43680.0,920187584.0,2025-04-03,688018,43680.0
180.0,170.25,190.0,165.17,57612.0,1027051712.0,2025-04-07,688018,57612.0
172.66,174.8,180.46,168.99,47300.0,825512064.0,2025-04-08,688018,47300.0
169.09,178.13,182.6,165.01,44393.0,782804544.0,2025-04-09,688018,44393.0
185.0,188.31,194.67,185.0,43938.0,835807232.0,2025-04-10,688018,43938.0
186.06,194.28,198.79,186.06,37352.0,724156928.0,2025-04-11,688018,37352.0
197.66,193.04,199.88,192.0,28487.0,553911488.0,2025-04-14,688018,28487.0
193.05,194.44,196.0,189.5,21037.0,405692000.0,2025-04-15,688018,21037.0
194.0,190.71,195.0,187.7,19352.0,369931360.0,2025-04-16,688018,19352.0
188.79,194.0,198.0,188.79,30633.0,598889216.0,2025-04-17,688018,30633.0
194.0,193.03,194.99,190.42,15491.0,298011840.0,2025-04-18,688018,15491.0
192.62,192.13,194.0,188.5,28817.0,550633920.0,2025-04-21,688018,28817.0
191.78,188.21,193.8,188.1,23776.0,453572128.0,2025-04-22,688018,23776.0
191.51,195.08,196.83,190.5,30082.0,582999680.0,2025-04-23,688018,30082.0
195.0,192.19,195.0,189.58,19525.0,375302880.0,2025-04-24,688018,19525.0
192.18,191.2,195.8,190.18,25408.0,490326752.0,2025-04-25,688018,25408.0
192.79,195.4,198.8,189.0,28638.0,557545408.0,2025-04-28,688018,28638.0
194.89,194.36,196.0,192.26,15938.0,309079296.0,2025-04-29,688018,15938.0
203.0,218.0,218.99,203.0,64081.0,1367194240.0,2025-04-30,688018,64081.0
219.0,220.75,222.94,213.72,41929.0,920336512.0,2025-05-06,688018,41929.0
223.0,218.99,224.68,216.47,28754.0,632209984.0,2025-05-07,688018,28754.0
218.01,215.7,219.9,213.5,20969.0,452304832.0,2025-05-08,688018,20969.0
208.0,198.5,208.88,197.99,48049.0,967401408.0,2025-05-09,688018,48049.0
200.88,202.3,203.9,199.0,28698.0,577521216.0,2025-05-12,688018,28698.0
205.0,204.2,210.99,201.5,30766.0,637432384.0,2025-05-13,688018,30766.0
202.04,200.5,207.55,197.2,26099.0,525189280.0,2025-05-14,688018,26099.0
200.57,197.88,202.23,197.02,19522.0,389841888.0,2025-05-15,688018,19522.0
197.5,195.8,199.24,195.44,15873.0,312558976.0,2025-05-16,688018,15873.0
194.49,190.88,196.0,190.51,24544.0,471843584.0,2025-05-19,688018,24544.0
191.49,196.62,200.25,189.51,25217.0,495558272.0,2025-05-20,688018,25217.0
196.0,193.13,196.62,192.53,16069.0,311863936.0,2025-05-21,688018,16069.0
192.86,193.99,203.85,191.34,32670.0,644689408.0,2025-05-22,688018,32670.0
194.3,186.6,194.3,183.26,36962.0,689407168.0,2025-05-23,688018,36962.0
185.99,193.58,194.78,184.77,26163.0,496731168.0,2025-05-26,688018,26163.0
191.51,188.73,198.6,188.3,16802.0,322581088.0,2025-05-27,688018,16802.0
189.3,188.0,192.2,186.3,11774.0,221440288.0,2025-05-28,688018,11774.0
188.8,190.1,192.5,188.05,17721.0,336899488.0,2025-05-29,688018,17721.0
189.0,184.13,189.0,183.84,17992.0,333598752.0,2025-05-30,688018,17992.0
185.94,192.99,195.55,184.16,33033.0,633515136.0,2025-06-03,688018,33033.0
135.39,136.3,136.65,134.3,21022.0,284830592.0,2025-06-04,688018,21022.0
136.3,141.18,141.8,135.16,29072.0,404801120.0,2025-06-05,688018,29072.0
141.18,143.57,145.99,140.83,31363.0,448806176.0,2025-06-06,688018,31363.0
142.82,151.08,155.18,140.86,78458.0,1175911424.0,2025-06-09,688018,78458.0
149.0,141.0,149.6,138.92,57804.0,824378432.0,2025-06-10,688018,57804.0
141.5,139.19,142.3,138.15,27949.0,390770432.0,2025-06-11,688018,27949.0
138.43,137.0,140.2,136.0,29029.0,400558176.0,2025-06-12,688018,29029.0
136.65,138.12,139.79,134.0,46001.0,627872768.0,2025-06-13,688018,46001.0
137.03,134.13,137.98,132.55,38444.0,516847136.0,2025-06-16,688018,38444.0
133.98,134.39,135.34,132.8,20141.0,270062592.0,2025-06-17,688018,20141.0
133.63,133.48,134.3,131.68,23492.0,312626368.0,2025-06-18,688018,23492.0
133.88,134.66,138.44,133.0,40290.0,547715200.0,2025-06-19,688018,40290.0
135.0,132.0,135.45,131.9,20879.0,277665792.0,2025-06-20,688018,20879.0
130.77,132.55,135.0,130.3,20496.0,272273056.0,2025-06-23,688018,20496.0
133.56,138.11,138.99,133.0,36310.0,496844704.0,2025-06-24,688018,36310.0
140.57,146.83,147.44,139.1,57251.0,824689536.0,2025-06-25,688018,57251.0
146.12,144.08,146.89,143.0,34737.0,501980736.0,2025-06-26,688018,34737.0
144.5,139.93,145.28,138.18,38725.0,545981504.0,2025-06-27,688018,38725.0
139.86,146.1,146.44,139.7,43058.0,616330432.0,2025-06-30,688018,43058.0
145.01,144.01,145.86,142.2,27137.0,391686112.0,2025-07-01,688018,27137.0
143.2,139.0,143.78,138.05,31455.0,440309856.0,2025-07-02,688018,31455.0
139.0,139.4,143.88,138.6,26305.0,370610240.0,2025-07-03,688018,26305.0
139.0,137.13,140.39,135.5,26825.0,369022368.0,2025-07-04,688018,26825.0
136.89,136.72,137.54,135.14,13977.0,190753664.0,2025-07-07,688018,13977.0
146.0,148.3,149.8,142.89,96318.0,1413764480.0,2025-07-08,688018,96318.0
147.45,147.95,149.22,146.62,39885.0,590141056.0,2025-07-09,688018,39885.0
148.66,156.48,157.44,148.13,70267.0,1085522176.0,2025-07-10,688018,70267.0
155.74,154.33,156.8,152.52,46788.0,724053568.0,2025-07-11,688018,46788.0
155.0,152.77,155.15,152.57,27428.0,421241760.0,2025-07-14,688018,27428.0
